Wall time,Step,Value
1649101891.9156585,99,0.1884041279554367
1649102331.8668265,199,0.2826300263404846
1649102767.0470753,299,0.24546822905540466
1649103204.9807804,399,0.28541359305381775
1649103639.054175,499,0.39143598079681396
1649104076.2899902,599,0.31354302167892456
1649104510.5929193,699,0.3312701880931854
1649104948.6811132,799,0.19265928864479065
1649105381.4034142,899,0.17159397900104523
1649105818.850118,999,0.18344222009181976
1649106252.0132048,1099,0.2091359943151474
1649106689.7266378,1199,0.3072986900806427
1649107125.0031238,1299,0.32566624879837036
1649107562.8439403,1399,0.21998970210552216
1649107995.2481544,1499,0.2534314692020416
1649108433.41079,1599,0.20890110731124878
1649108867.1562247,1699,0.3636947572231293
1649109304.6460197,1799,0.3285534381866455
1649109737.4762373,1899,0.4134199023246765
1649110176.5726213,1999,0.24246160686016083
1649110608.6740294,2099,0.2012273371219635
1649111047.1087568,2199,0.2851289212703705
1649111480.4274104,2299,0.22247003018856049
1649111918.212004,2399,0.3636394441127777
1649112352.2141714,2499,0.17509599030017853
1649112790.5522966,2599,0.23079101741313934
1649113225.1896994,2699,0.3450705409049988
1649113665.3749433,2799,0.4044191241264343
1649114100.514538,2899,0.27984848618507385
1649114541.2212675,2999,0.23436859250068665
1649114976.7266667,3099,0.3428596556186676
1649115416.8437858,3199,0.350105345249176
1649115854.0998287,3299,0.35446134209632874
1649116295.2291286,3399,0.09471515566110611
1649116731.8342457,3499,0.2772923409938812
1649117171.3959687,3599,0.19334903359413147
1649117606.9303956,3699,0.35677093267440796
1649118046.7079751,3799,0.3386698067188263
1649118482.9025877,3899,0.3156101107597351
1649118923.3697765,3999,0.290807843208313
1649119358.4136472,4099,0.37793904542922974
1649119797.979744,4199,0.28921443223953247
1649120232.05892,4299,0.2794605493545532
1649120671.7895734,4399,0.21052506566047668
1649121106.1361127,4499,0.3351746201515198
1649121546.342555,4599,0.38320624828338623
1649121980.79909,4699,0.388994038105011
1649122420.8945096,4799,0.4518229067325592
1649122854.9373963,4899,0.24690894782543182
1649123295.549485,4999,0.4750230014324188
1649123730.9146674,5099,0.36999765038490295
1649124171.6629243,5199,0.43107277154922485
1649124606.666191,5299,0.3968716859817505
1649125044.9016218,5399,0.36647871136665344
1649125481.0611134,5499,0.3258298337459564
1649125920.9127905,5599,0.33938735723495483
1649126355.3785818,5699,0.4046420454978943
1649126793.802329,5799,0.3738386034965515
1649127229.3014727,5899,0.3051600456237793
1649127669.2597091,5999,0.45479944348335266
1649128103.6982331,6099,0.292332261800766
1649128543.3693643,6199,0.30960339307785034
1649128977.8380644,6299,0.4002823233604431
1649129419.7659533,6399,0.19581927359104156
1649129855.0269334,6499,0.3437963128089905
1649130294.7019475,6599,0.3955952823162079
1649130728.5191834,6699,0.4998854696750641
1649131169.2576702,6799,0.24927063286304474
1649131603.5040574,6899,0.2507411539554596
1649132042.6907907,6999,0.3113775849342346
1649132474.6070745,7099,0.3292897343635559
1649132913.2666302,7199,0.3458537459373474
1649133347.6969337,7299,0.34700244665145874
1649133787.5938385,7399,0.34647297859191895
1649134222.9210415,7499,0.3518832325935364
1649134664.1151662,7599,0.2951416075229645
1649135098.1856709,7699,0.46456679701805115
1649135538.6185389,7799,0.26548439264297485
1649135974.6428423,7899,0.3802333474159241
1649136416.0245893,7999,0.3489692509174347
1649136851.1245916,8099,0.3501899540424347
1649137291.7988014,8199,0.29166343808174133
1649137728.8520184,8299,0.2322903871536255
1649138170.433137,8399,0.26034823060035706
1649138606.5807068,8499,0.3506251871585846
1649139047.4764001,8599,0.2685987055301666
1649139483.2957993,8699,0.2067452073097229
1649139923.749161,8799,0.46363547444343567
1649140359.401353,8899,0.5457056164741516
1649140801.5340896,8999,0.4279373586177826
1649141239.013783,9099,0.2770676910877228
1649141679.0972571,9199,0.49658915400505066
1649142115.1447256,9299,0.32319024205207825
1649142555.6371367,9399,0.31014513969421387
1649142992.2928762,9499,0.39488649368286133
1649143432.139267,9599,0.35517606139183044
1649143867.167605,9699,0.5196211338043213
1649144307.4700096,9799,0.35917165875434875
1649144743.5065196,9899,0.3395610451698303
1649145184.3237433,9999,0.4374304711818695
1649145619.2878535,10099,0.39686357975006104
1649146061.1214983,10199,0.3806065618991852
1649146498.1517618,10299,0.417883038520813
1649146939.6649885,10399,0.3330595791339874
1649147375.0201294,10499,0.38679206371307373
1649147815.6434486,10599,0.46931228041648865
1649148250.6512856,10699,0.2210439294576645
1649148694.413989,10799,0.4297259747982025
1649149130.1145086,10899,0.33729681372642517
1649149572.4474316,10999,0.2314663678407669
1649150009.513544,11099,0.13176293671131134
1649150451.0708237,11199,0.3730599284172058
1649150888.0687084,11299,0.30961447954177856
1649151330.2182987,11399,0.35731181502342224
1649151769.1110992,11499,0.2973099648952484
1649152211.1611683,11599,0.2799939811229706
1649152648.0480638,11699,0.40459126234054565
1649153090.6399028,11799,0.43872663378715515
1649153526.3929803,11899,0.37898629903793335
1649153969.162931,11999,0.3065894842147827
1649154405.6681533,12099,0.44815778732299805
1649154847.5242527,12199,0.4128986597061157
1649155284.8143718,12299,0.35816872119903564
1649155726.6989455,12399,0.1999122053384781
1649156163.1175184,12499,0.2693585455417633
